index	#1 Label	#2 Count	#3 String
1	1,1	2	More children have been killed in schools this year than those serving in the military. Let that sink in! ||||| Seriously, wtf is wrong with our political system!  Politicians are supposed to represent the people, not the NRA or the highest bidder. #bluewave #VoteThemAllOut [URL]
2	1,0	2	Former GOP Rep. Jason Chaffetz: 'Politically correct culture' to blame for shooting [URL] by @EricBoehlert ||||| Ma calls BS! [URL]
3	1,0	2	On average, that’s one school shooting every week this year in the USA. Why was nothing done after the first to prevent the rest? Will something be done by those in power now? How many murders does it take to make someone listen? Thoughts and love with everyone in Texas. 🖤 ||||| On average, there’s one fake stat about school shootings by idiots on the left every 30 seconds. This is one of them. [URL]
4	1,3	2	THIS WEEK  —North Korea setback —Kushner/Qatar —Israel/Gaza —Trump/Cohen/$ —Wilkie pick for VA —Mueller 1yr —TX school shooting —PA/OR/ID/NE primaries —Trump/"animals" —Haspel confirmed —21st circuit judge —Trump abortion rule —NAFTA/China talks —Pruitt fallout —Farm bill crashes ||||| Despite illegal WITCHUNT! blah blah blah MOST SUCCESSFUL Madministration THE BESTEST IN FACT! blah blah blah  FAKE NEWS!  blah blah blah ....squirrel! [URL]
5	1,0	2	I’m so confused...   - When we were attacked on 9/11, Americans came together in the strongest show of support our country has ever seen...  - When we get attacked by Russia, half the country denies it even happened let alone fight against it...  Clearly something is wrong here. ||||| ONE MIGHT BE MADE UP AND NOT REAL. NOT SURE. STILL RESEARCHING. [URL]
6	1,0	2	Adult friendships [URL] ||||| False, adult friendships are M-F, 9-5 [URL]
7	1,1	2	NH's GOP governor just signed a GOP law imposing new restrictions on voting eligibility: Being domiciled in NH is no longer sufficient, you will also need to meet the qualifications of a "resident." This will likely mean many college students don't vote.  [URL] [URL] ||||| Republicans know that their policies are despised by the American people, so the lie, cheat, and steal to make sure that democracy is a farce and to ensure their minority rule. [URL]
8	1,0	2	Guys, first moves are over.  Women, it’s all you now. You have to call us, send us gifts, do all the asking out and paying for dinner,  make the first move, and provide consent paperwork in triplicate for the goodnight kiss.  We quit.   [URL] ||||| The stupid comments on this tweet - some people just refuse to see the exaggerations and the lies. [URL]
10	1,0	2	Dem Congressional Candidate Says ‘F**k the NRA’ in New Campaign Ad [URL] [URL] ||||| “I think the only people who are going to be offended are the NRA.”     Wrong. [URL]
11	1,0	2	I asked Trump nominee Gina Haspel four different times whether she believe the CIA’s previous interrogation techniques, like waterboarding, were immoral. She repeatedly declined to answer. [URL] ||||| Kamala spread her legs &amp; lies all the way to the top.  She can't stand to see strong women break glass ceilings in… [URL]
12	1,0	2	President Obama mocked the notion that Russia was a threat in 2012, and then fell asleep at the wheel as Russia attacked our electoral system in 2016. Why aren’t Democrats and the mainstream media outraged at him? ||||| Hi @GOPChairwoman r u inspired #JosephGobbels ie 2 tel a lie 100 times &amp; it becomes truth, were is the proof of Russian involvement in ur elections cc @Politicallyin18 @lbrot1 @EternalRiteWing @Txwench @StillUSA1st @KAFosterSowell @shelliecorreia @ConsrvativeDiva @CancerSucksss [URL]
14	1,0	2	The problem w Trump’s approach to Russian interference in our election is he sees it only through the lense of whether he won or lost. He did win, but that shouldn’t blind him to how wrong it was for Russia to interfere. I believe Mueller &amp; the intell community. Trump should too. ||||| Ari, I usually find your take refreshing and evenhanded. You're wrong this time. Americans DO NOT TRUST OBAMA'S INTELLIGENCE AGENCY and the made up Russian b.s. [URL]
16	1,0	2	VP PENCE: "what the world saw, what the American people saw, is that President Donald Trump will always put the prosperity and security of America first." ||||| where’s the gaslight emoji [URL]
17	1,3	2	Girls that lie 😐😒 ||||| Guys that lie bio😕😒😒 [URL]
18	1,1	2	Within hours of massacre, Fox News calls for arming literally ‘anyone’   [URL] ||||| Watch #FoxNews some day. Make a list of their advertisers. Ignore all the bullshit gaslighting &amp; outright lying. Boycott the companies advertising there. Our besr weapon against fascism is our spending choices.  #BoycottTrumpSponsors #BoycottGOPSponsors #BoycottRWMediaSponsors [URL]
19	1,0	2	Susan and I are saddened by the horrific shooting in Texas and our hearts go out to the community of Santa Fe and the family and friends of those who lost their lives. Grateful to the first responders who bravely risked their own lives in order to save others. ||||| Keep your heart comments to yourself - make some real change instead of saying the same tired BS after every school shooting [URL]
21	1,0	2	Am I the only female that done had a nigga running from head? 🙄🤔 ||||| Caught you in a lie [URL]
22	1,3	2	Meet Lawless Hloni .   All he does is drink and have fun.  Sometimes he has fun and then he drinks.  I think we’ve established that Hloni just likes having fun.   Come meet Hloni this Saturday at Taboo so you too can also have fun.   Thanks for coming to my Ted Talk😊 [URL] ||||| There are NO LAWS!! [URL]
